OrderId,Pincode,ParentProductId,ParentProduct,VariantProductId,VariantProduct,,State,City,Zone,Tire,Region,Qty,Category,Gender,ListPrice,IsExclusive,PaymentStatus,OrderLineItemStatus,PaymentMethod,Courier,ArtistName,IndividualDiscount,DeviceType,OrderFrom,StoreOnline,HyperLocal
12140083,500072,237233,Transformers: Prime Time,238022,Transformers: Prime Time , Variant ( S ),TELANGANA,HYDERABAD,ZONE D,Tire 1,South,1,Men Oversized Sweatshirts,Men,999,Not exclusive,Paid,Processing,UPI,Blue Dart Air,Transformers,0,App Orders,Online Orders,No,No
12140082,395001,188939,Iron Man: Stark Industries,188996,Iron Man: Stark Industries , Variant ( M ),GUJARAT,SURAT,ZONE B,Tire 2,West,1,Performance Shorts,Men,999,Exclusive,Paid,Processing,UPI,Xpressbees,Marvelâ„¢,0,App Orders,Online Orders,No,No
12140081,127021,216319,Solids: Black (Slim Fit),216347,Solids: Black (Slim Fit) , Variant ( 36 ),HARYANA,BHIWANI,ZONE D,Tire 3,North,1,Men Jeans,Men,2299,Not exclusive,Pending,Processing,COD,Delhivery,The Souled Store,0,App Orders,Online Orders,No,No
12140080,600002,242285,Naruto: Itachi Uchiha,243287,Naruto: Itachi Uchiha , Variant ( XL ),TAMIL NADU,CHENNAI,ZONE C,Tire 1,South,1,Oversized T-Shirts,Men,1049,Exclusive,Paid,Delivered,POC,N/A,Naruto,0,Store orders,Express Avenue Chennai,No,No
12140080,600002,257647,TSS Originals: Pocket,258093,TSS Originals: Mr. Souled , Variant ( XL ),TAMIL NADU,CHENNAI,ZONE C,Tire 1,South,1,Oversized T-Shirts,Men,1199,Exclusive,Paid,Delivered,POC,N/A,The Souled Store,0,Store orders,Express Avenue Chennai,No,No
12140080,600002,147501,The Souled Store Membership,147501,The Souled Store Membership,N/A,TAMIL NADU,CHENNAI,ZONE C,Tire 1,South,1,Exclusive,Extras,235,Exclusive,Paid,Delivered,POC,N/A,The Souled Store,0,Store orders,Express Avenue Chennai,No,No
12140080,600002,162618,Red Paper Bags,162618,Red Paper Bags,N/A,TAMIL NADU,CHENNAI,ZONE C,Tire 1,South,1,Packaging Materials,Extras,0,Exclusive,Paid,Delivered,POC,N/A,The Souled Store,0,Store orders,Express Avenue Chennai,No,No
12140079,380026,275929,TSS Originals: The Anniversary Edition,275932,TSS Originals: The Anniversary Edition , Variant ( M ),GUJARAT,AHMEDABAD,ZONE B,Tire 1,West,1,Oversized T-Shirts,Men,1299,Exclusive,Paid,Processing,UPI,Xpressbees,The Souled Store,0,App Orders,Online Orders,No,No
12140079,380026,240204,Star Wars: Do or Do Not,241577,Star Wars: Do or Do Not ," Variant ( M, Black )",GUJARAT,AHMEDABAD,ZONE B,Tire 1,West,1,Men Oversized Hoodies,Men,1699,Exclusive,Paid,Processing,UPI,Xpressbees,Star Warsâ„¢,0,App Orders,Online Orders,No,No
12140079,380026,147501,The Souled Store Membership,147501,The Souled Store Membership,N/A,GUJARAT,AHMEDABAD,ZONE B,Tire 1,West,1,Exclusive,Extras,235,Exclusive,Paid,Processing,UPI,Xpressbees,The Souled Store,0,App Orders,Online Orders,No,No
12140078,382443,249831,Solids: Black (Straight Fit),249897,Solids: Black (Straight Fit) , Variant ( 38 ),GUJARAT,AHMEDABAD,ZONE B,Tire 1,West,1,Men Cargo Jeans,Men,2299,Exclusive,Pending,Processing,COD,Delhivery,The Souled Store,0,App Orders,Online Orders,No,No
12140078,382443,258384,Solids: Light Olive,259784,Solids: Light Olive , Variant ( XXL ),GUJARAT,AHMEDABAD,ZONE B,Tire 1,West,1,Men Cargo Pants,Men,1999,Exclusive,Pending,Processing,COD,Delhivery,The Souled Store,0,App Orders,Online Orders,No,No
12140077,834012,253697,Catwoman: Meaow,254529,Catwoman: Meaow , Variant ( XXS ),JHARKHAND,RANCHI,ZONE D,Tire 2,East,1,Women Oversized T-Shirts,Women,999,Not exclusive,Paid,Processing,UPI,Xpressbees,DC Comicsâ„¢,0,App Orders,Online Orders,No,No
12140077,834012,215921,Brooklyn Nine-Nine: 99th Precinct,216056,Brooklyn Nine, Variant ( XXS ),JHARKHAND,RANCHI,ZONE D,Tire 2,East,1,Boyfriend T-Shirts,Women,999,Not exclusive,Paid,Processing,UPI,Xpressbees,Brooklyn Nine-Nine,0,App Orders,Online Orders,No,No
12140076,575001,241902,Pink Panther: Pink Trouble,242009,Pink Panther: Pink Trouble , Variant ( M ),KARNATAKA,MANGALORE,ZONE D,Tire 2,South,1,Women Oversized T-Shirts,Women,949,Exclusive,Paid,Processing,UPI,Delhivery,Pink Panther,0,Web Orders,Online Orders,No,No
12140076,575001,147501,The Souled Store Membership,147501,The Souled Store Membership,N/A,KARNATAKA,MANGALORE,ZONE D,Tire 2,South,1,Exclusive,Extras,235,Exclusive,Paid,Processing,UPI,Delhivery,The Souled Store,0,Web Orders,Online Orders,No,No
12140074,765001,258496,Urban Blaze: Pink Frost,258528,TSS Originals: Pink Pearl , Variant ( UK 7 ),ORISSA,RAYGADA,ZONE D,Tire 3,East,1,Women Low Top Sneakers,Women,2499,Not exclusive,Pending,Processing,COD,Delhivery,The Souled Store,0,App Orders,Online Orders,No,No
12140074,765001,172870,Welcome Note ,172870,Welcome Note ,N/A,ORISSA,RAYGADA,ZONE D,Tire 3,East,1,,N/A,0,Not exclusive,Pending,Processing,COD,Delhivery,The Souled Store,0,App Orders,Online Orders,No,No
12140073,791111,269099,Cotton Linen: Rosewood,269103,Solids: Blush Pink , Variant ( M ),ARUNACHAL PRADESH,ITANAGAR,ZONE E,Tire 3,East,1,Women Shirts,Women,1699,Not exclusive,Pending,Processing,COD,Delhivery,The Souled Store,0,App Orders,Online Orders,No,No
12140072,151203,201293,Manchester City: Logo,201296,Manchester City: Logo , Variant ( S ),PUNJAB,FARIDKOT,ZONE D,Tire 3,North,1,Women Oversized T-Shirts,Women,799,Exclusive,Paid,Processing,UPI,Delhivery,Manchester City FC,0,App Orders,Online Orders,No,No
12140072,151203,220353,Lilo & Stitch: Out of This World!,220441,Lilo & Stitch: Out of This World! , Variant ( M ),PUNJAB,FARIDKOT,ZONE D,Tire 3,North,1,Women Oversized T-Shirts,Women,699,Exclusive,Paid,Processing,UPI,Delhivery,Disneyâ„¢,0,App Orders,Online Orders,No,No
12140071,827001,227424,Spider-Man: Sinister Six,228404,Spider, Variant ( XL ),JHARKHAND,BOKARO,ZONE D,Tire 3,East,1,Holiday Shirts,Men,1399,Exclusive,Paid,Processing,UPI,Xpressbees,Marvelâ„¢,0,App Orders,Online Orders,No,No
12140068,845401,214241,Avatar: The Way,276337,Avatar: The Way , Variant ( XXS ),BIHAR,MOTIHARI,ZONE D,Tire 3,East,1,Oversized T-Shirts,Men,999,Exclusive,Pending,Processing,COD,Xpressbees,Avatar,0,Web Orders,Online Orders,No,No
12140068,845401,147501,The Souled Store Membership,147501,The Souled Store Membership,N/A,BIHAR,MOTIHARI,ZONE D,Tire 3,East,1,Exclusive,Extras,235,Exclusive,Pending,Processing,COD,Xpressbees,The Souled Store,0,Web Orders,Online Orders,No,No
12140065,492001,247874,FCB: Matchday,248239,FCB: Matchday , Variant ( XS ),CHHATTISGARH,RAIPUR,ZONE D,Tire 2,East,1,Oversized T-Shirts,Men,1049,Not exclusive,Pending,Processing,COD,Delhivery,FC Barcelona,0,App Orders,Online Orders,No,No
12140064,700156,240293,Buttercup: Super Fierce,241158,Buttercup: Super Fierce ," Variant ( XS, Black )",WEST BENGAL,KOLKATA,ZONE C,Tire 1,East,1,Women Cropped Oversized Hoodies,Women,1599,Not exclusive,Pending,Processing,COD,Xpressbees,The Powerpuff Girlsâ„¢,0,App Orders,Online Orders,No,No
12140063,452009,186356,Eternals: The Team,186466,Eternals: The Team , Variant ( S ),MADHYA PRADESH,INDORE,ZONE B,Tire 2,West,1,Oversized T-Shirts,Men,999,Not exclusive,Paid,Processing,UPI,Xpressbees,Marvelâ„¢,0,App Orders,Online Orders,No,No
12140062,382421,247875,FCB: Camp Nou,248235,FCB: Camp Nou , Variant ( XL ),GUJARAT,GANDHINAGAR,ZONE B,Tire 3,West,1,Oversized T-Shirts,Men,999,Not exclusive,Paid,Processing,UPI,DTDC Air,FC Barcelona,0,Web Orders,Online Orders,No,No
12140062,382421,242404,The Boys: F*cking Diabolical,243302,The Boys: F*cking Diabolical , Variant ( L ),GUJARAT,GANDHINAGAR,ZONE B,Tire 3,West,1,Oversized T-Shirts,Men,999,Not exclusive,Paid,Processing,UPI,DTDC Air,The Boys,0,Web Orders,Online Orders,No,No
12140062,382421,225350,Star Wars: Darth Vader,229649,Star Wars: Darth Vader , Variant ( XXL ),GUJARAT,GANDHINAGAR,ZONE B,Tire 3,West,1,Oversized T-Shirts,Men,999,Not exclusive,Paid,Processing,UPI,DTDC Air,Star Warsâ„¢,0,Web Orders,Online Orders,No,No
12140062,382421,243853,The Boys: Daddy's Home,243966,The Boys : Daddy's Home , Variant ( XXL ),GUJARAT,GANDHINAGAR,ZONE B,Tire 3,West,1,Oversized T-Shirts,Men,1049,Not exclusive,Paid,Processing,UPI,DTDC Air,The Boys,0,Web Orders,Online Orders,No,No
12140061,328001,214233,Naruto: Ichiraku Ramen,214503,Naruto: Ramen , Variant ( L ),RAJASTHAN,DHOLPUR,ZONE D,Tire 3,West,1,Oversized T-Shirts,Men,999,Exclusive,Pending,Processing,COD,Delhivery,Naruto,0,App Orders,Online Orders,No,No
12140060,226014,216061,TSS Originals: Jet Black,216074,TSS Originals: Jet Black , Variant ( XL ),UTTAR PRADESH,LUCKNOW,ZONE D,Tire 2,North,1,Men Joggers,Men,1599,Not exclusive,Pending,Processing,COD,Xpressbees,The Souled Store,0,App Orders,Online Orders,No,No
12140059,201016,218492,The Office: I Manage,218623,The Office: I Manage , Variant ( XL ),UTTAR PRADESH,GHAZIABAD,ZONE D,Tire 2,North,1,T-Shirts,Men,699,Not exclusive,Pending,Processing,COD,Xpressbees,The Souled Store,0,App Orders,Online Orders,No,No
12140059,201016,257172,Solids: Burgundy,257238,Solids: Walnut Brown , Variant ( XL ),UTTAR PRADESH,GHAZIABAD,ZONE D,Tire 2,North,1,Men Textured Shirts,Men,1499,Not exclusive,Pending,Processing,COD,Xpressbees,The Souled Store,0,App Orders,Online Orders,No,No
12140058,208013,246522,Plaid: Riveria,246573,Plaid: Riveria , Variant ( L ),UTTAR PRADESH,KANPUR,ZONE D,Tire 2,North,1,Men Utility Shirts,Men,999,Not exclusive,Paid,Processing,dcc,Delhivery,The Souled Store,0,App Orders,Online Orders,No,No
12140058,208013,172870,Welcome Note ,172870,Welcome Note ,N/A,UTTAR PRADESH,KANPUR,ZONE D,Tire 2,North,1,,N/A,0,Not exclusive,Paid,Processing,dcc,Delhivery,The Souled Store,0,App Orders,Online Orders,No,No
12140057,421503,259122,Cotton Linen: Soft Pink,259147,Solids: Soft Pink , Variant ( XS ),MAHARASHTRA,GREATER THANE,ZONE A,Tire 3,West,1,Cotton Linen Shirts,Men,1499,Not exclusive,Paid,Processing,Wallet,Delhivery,The Souled Store,0,App Orders,Online Orders,No,No
